Date,AAPL,GOOG,MSFT,TSLA
2020-01-02,72.40052032470703,67.81177520751953,152.15841674804688,28.68400001525879
2020-01-03,71.69661712646484,67.47900390625,150.2637481689453,29.534000396728516
2020-01-06,72.2679443359375,69.14283752441406,150.6521453857422,30.1026668548584
2020-01-07,71.92803192138672,69.09970092773438,149.27854919433594,31.270666122436523
2020-01-08,73.08513641357422,69.64421844482422,151.6562957763672,32.80933380126953
2020-01-09,74.63748931884766,70.41341400146484,153.5509796142578,32.089332580566406
2020-01-10,74.80620574951172,70.90438842773438,152.84051513671875,31.876667022705078
2020-01-13,76.4043960571289,71.37550354003906,154.67822265625,34.990665435791016
2020-01-14,75.37272644042969,70.9614028930664,153.58885192871094,35.861331939697266
2020-01-15,75.04969024658203,71.37403106689453,154.58349609375,34.56666564941406
2020-01-16,75.98982238769531,71.99394226074219,157.41603088378906,34.232666015625
2020-01-17,76.83110809326172,73.41674041748047,158.29702758789062,34.03333282470703
2020-01-21,76.3104248046875,73.6156234741211,157.72866821289062,36.47999954223633
2020-01-22,76.58280181884766,73.69249725341797,156.9707794189453,37.97066879272461
2020-01-23,76.95161437988281,73.72721099853516,157.93702697753906,38.14666748046875
2020-01-24,76.72984313964844,72.73832702636719,156.34556579589844,37.654666900634766
2020-01-27,74.47359466552734,71.11117553710938,153.7309112548828,37.201332092285156
2020-01-28,76.58038330078125,72.03659057617188,156.74346923828125,37.793331146240234
2020-01-29,78.18341064453125,72.33761596679688,159.1875,38.732666015625
2020-01-30,78.0700912475586,72.1992416381836,163.67782592773438,42.72066879272461
2020-01-31,74.60858917236328,71.12754821777344,161.2621307373047,43.371334075927734
2020-02-03,74.4036636352539,73.6919937133789,165.1935272216797,52.0
2020-02-04,76.86000061035156,71.76432037353516,170.63111877441406,59.137332916259766
2020-02-05,77.48676300048828,71.82184600830078,170.4226837158203,48.97999954223633
2020-02-06,78.39311981201172,73.21044158935547,173.95620727539062,49.930667877197266
2020-02-07,77.3275375366211,73.35922241210938,174.20249938964844,49.871334075927734
2020-02-10,77.69483184814453,74.81973266601562,178.75914001464844,51.41866683959961
2020-02-11,77.22605895996094,74.82518768310547,174.72352600097656,51.62533187866211
2020-02-12,79.05999755859375,75.29533386230469,174.97933959960938,51.15266799926758
2020-02-13,78.49700927734375,75.11629486083984,174.03201293945312,53.599998474121094
2020-02-14,78.51636505126953,75.4178237915039,175.58558654785156,53.33533477783203
2020-02-18,77.07864379882812,75.36475372314453,177.36659240722656,57.22666549682617
2020-02-19,78.19498443603516,75.71289825439453,177.89852905273438,61.16133117675781
2020-02-20,77.39277648925781,75.28938293457031,175.18177795410156,59.96066665649414
2020-02-21,75.64099884033203,73.65082550048828,169.643798828125,60.06666564941406
2020-02-24,72.04801177978516,70.50070190429688,162.3295440673828,55.58599853515625
2020-02-25,69.60759735107422,68.85718536376953,159.65078735351562,53.32733154296875
