Date,AAPL,GOOG,MSFT,TSLA
2020-01-03,-0.009722349992586699,-0.004907279012401289,-0.012451947250731954,0.02963325829792085
2020-01-06,0.00796867735704887,0.024657056593124338,0.00258476992308343,0.01925463704513497
2020-01-07,-0.004703501914634534,-0.0006238765752772935,-0.009117667643492089,0.03880052465815398
2020-01-08,0.016086975568192274,0.007880171835465744,0.015928253555946625,0.04920482578812169
2020-01-09,0.021240336701145113,0.011044643386299402,0.012493275193036002,-0.021945011900097344
2020-01-10,0.002260478376266306,0.006972739970530606,-0.004626896417879278,-0.006627297633174267
2020-01-13,0.021364408094279197,0.00664437170605936,0.012023693572920768,0.09768895885093332
2020-01-14,-0.01350275206583429,-0.005801719447630416,-0.007042819013766577,0.024882822120200876
2020-01-15,-0.004285849923486129,0.0058148254826631,0.006476017969720527,-0.03610201351305786
2020-01-16,0.012526795753911912,0.008685388573144381,0.018323655898694557,-0.009662477636014799
2020-01-17,0.011071031345148086,0.019762748254364304,0.005596613630488134,-0.005822894156913949
2020-01-21,-0.00677698527974091,0.002708960592770593,-0.00359046144871189,0.07189030619278935
2020-01-22,0.0035693290249305676,0.0010442590263994855,-0.004805016123780148,0.04086264444061727
2020-01-23,0.004815866647286615,0.00047106213537340125,0.006155588716387106,0.004635122144013071
2020-01-24,-0.002881956954659426,-0.013412740815431312,-0.010076555270772225,-0.012897603180825445
2020-01-27,-0.02940509691926152,-0.022369932823282812,-0.016723560580086616,-0.012039272835579595
2020-01-28,0.02828906869227721,0.013013637196583439,0.019596306031151256,0.015913383222044608
2020-01-29,0.02093261060673801,0.004178784534599744,0.015592552427197592,0.024854513769903885
2020-01-30,-0.0014494046248234582,-0.0019128958946724728,0.028207779679525036,0.10296225866535558
2020-01-31,-0.044338389002504974,-0.014843555085811033,-0.014758842113996806,0.015230690473505337
2020-02-03,-0.0027466748719232603,0.03605418097294488,0.024378919380516173,0.19894859376394902
2020-02-04,0.033013656251381196,-0.026158517943500548,0.0329164928201906,0.13725640223576474
2020-02-05,0.008154597777251471,0.0008015910199692389,-0.001221553606932102,-0.1717583947927872
2020-02-06,0.011696924434922318,0.01933388875710884,0.02073388050538183,0.01940931694254422
2020-02-07,-0.013592803525946051,0.002032235013530448,0.001415828259970775,-0.001188323805631053
2020-02-10,0.00474985138831685,0.01990902037785447,0.026157148381711348,0.031026496329857656
2020-02-11,-0.006033514418305352,7.29088022031199e-05,-0.022575707252458166,0.004019260937028868
